security_name,quantity,execution_price,amount_local_currency
אילקס מדיקל,25.0,7996.0,-2001.35
מיחשוב ישר קב,6.0,32830.0,-1972.15
מגדלי תיכון,196.0,1019.0,-1999.59
תכ.תא125,546.0,1828.0,-9988.86
B USD/ILS 3.627,2756.51,362.78,-10000.0
רימוני,4.0,7790.0,-313.95
מגדלי תיכון,189.0,1007.0,-1905.58
רימוני,12.0,7999.0,-962.23
רימוני,12.0,7700.0,-926.35
רימוני,6.0,7787.0,-469.57
סקופ,12.0,15410.0,-1851.55
B USD/ILS 3.450,1448.99,345.07,-4999.99
רימוני,14.0,7692.0,-1079.23
תP001580M208-35,1.0,20.0,-22.5
תP001580M208-35,1.0,20.0,-22.5
תP001580M207-35,2.0,600.0,-1205.0
רימוני,12.0,7450.0,-896.35
תכ.תא125,54.0,1859.0,-1006.21
תכ.תא125,51.0,1958.0,-1000.93
רימוני,1.0,7352.0,-75.87
