סוג פעולה,Count,AvgQty,TotalQty
הפקדה,337,120.67,40667.42
הפקדה דיבידנד מטח,242,16.12,3900.33
קניה חול מטח,234,8.68,2031.0
משיכת מס חול מטח,216,3.48,752.11
משיכה,209,217.06,45366.39
מכירה מעוף,105,2.47,259.0
קניה רצף,97,34.86,3381.0
קניה שח,94,552.71,51954.82
מכירה חול מטח,82,28.52,2339.0
דיבדנד,64,0.0,0.0
העברה מזומן בשח,54,0.0,0.0
הפקדה פקיעה,48,4.1,197.0
מכירה שח,44,647.88,28506.65
משיכת מס מטח,28,8.44,236.33
מכירה רצף,22,714.59,15721.0
ריבית מזומן בשח,19,0.0,0.0
קניה מעוף,17,2.41,41.0
משיכת ריבית מטח,10,0.15,1.5
הטבה,6,43.17,259.0
משיכה פקיעה,2,2.5,5.0
דמי טפול מזומן בשח,1,0.0,0.0
